,Date,Price - USD/LB
414,1964-07-31,0.0431
415,1964-08-03,0.0422
416,1964-08-04,0.043
417,1964-08-05,0.0465
418,1964-08-06,0.0448
419,1964-08-07,0.0468
420,1964-08-10,0.0443
421,1964-08-11,0.0444
422,1964-08-12,0.0443
423,1964-08-13,0.0426
424,1964-08-14,0.0424
425,1964-08-17,0.0428
426,1964-08-18,0.0424
427,1964-08-19,0.0426
428,1964-08-20,0.0424
429,1964-08-21,0.0415
430,1964-08-24,0.0419
431,1964-08-25,0.0424
432,1964-08-26,0.0411
433,1964-08-27,0.0399
434,1964-08-28,0.0398
435,1964-08-31,0.0399
436,1964-09-01,0.0392
437,1964-09-02,0.038
438,1964-09-03,0.0363
439,1964-09-04,0.037
440,1964-09-08,0.037
441,1964-09-09,0.0364
442,1964-09-10,0.036
443,1964-09-11,0.036
444,1964-09-14,0.0369
445,1964-09-15,0.0356
446,1964-09-16,0.0348
447,1964-09-17,0.0349
448,1964-09-18,0.0356
449,1964-09-21,0.0353
450,1964-09-22,0.0359
451,1964-09-23,0.0377
452,1964-09-24,0.037
453,1964-09-25,0.0366
454,1964-09-28,0.0356
455,1964-09-29,0.0368
456,1964-09-30,0.0358
457,1964-10-01,0.0356
458,1964-10-02,0.0363
459,1964-10-05,0.0357
460,1964-10-06,0.0367
461,1964-10-07,0.0366
462,1964-10-08,0.0366
463,1964-10-09,0.0371
464,1964-10-13,0.0366
465,1964-10-14,0.0361
466,1964-10-15,0.0361
467,1964-10-16,0.0358
468,1964-10-19,0.0359
469,1964-10-20,0.0364
470,1964-10-21,0.0362
471,1964-10-22,0.0362
472,1964-10-23,0.0363
473,1964-10-26,0.0359
474,1964-10-27,0.0354
475,1964-10-28,0.0353
476,1964-10-29,0.0357
477,1964-10-30,0.0356
478,1964-11-02,0.0359
479,1964-11-04,0.0357
480,1964-11-05,0.0352
481,1964-11-06,0.0349
482,1964-11-09,0.0345
483,1964-11-10,0.0336
484,1964-11-12,0.0328
