Date,Settle
1992-07-31,1.65
1992-08-03,1.635
1992-08-04,1.63
1992-08-05,1.62
1992-08-06,1.64
1992-08-07,1.65
1992-08-10,1.68
1992-08-11,1.725
1992-08-12,1.735
1992-08-13,1.72
1992-08-14,1.7
1992-08-17,1.69
1992-08-18,1.72
1992-08-19,1.7
1992-08-20,1.694
1992-08-21,1.685
1992-08-24,1.698
1992-08-25,1.735
1992-08-26,1.71
1992-08-27,1.72
1992-08-28,1.78
1992-08-31,1.76
1992-09-01,1.73
1992-09-02,1.71
1992-09-03,1.72
1992-09-04,1.73
1992-09-08,1.7
1992-09-09,1.725
1992-09-10,1.735
1992-09-11,1.74
1992-09-14,1.742
1992-09-15,1.785
1992-09-16,1.785
1992-09-17,1.8
1992-09-18,1.81
1992-09-21,1.845
1992-09-22,1.855
1992-09-23,1.83
1992-09-24,1.95
1992-09-25,1.955
1992-09-28,1.96
1992-09-29,1.955
1992-09-30,1.94
1992-10-01,1.955
1992-10-02,1.95
1992-10-05,1.9
1992-10-06,1.895
1992-10-07,1.885
1992-10-08,1.86
1992-10-09,1.88
1992-10-12,1.88
1992-10-13,1.86
1992-10-14,1.905
1992-10-15,1.91
1992-10-16,1.925
1992-10-19,1.96
1992-10-20,1.95
1992-10-21,1.905
1992-10-22,1.88
1992-10-23,1.9
1992-10-26,2.115
1992-10-27,2.16
1992-10-28,2.18
1992-10-29,2.12
1992-10-30,2.165
1992-11-02,2.185
1992-11-03,2.18
1992-11-04,2.16
1992-11-05,2.15
1992-11-06,2.145
1992-11-09,2.14
1992-11-10,2.16
1992-11-11,2.137
1992-11-12,2.142
1992-11-13,2.13
1992-11-16,2.1
1992-11-17,2.105
1992-11-18,2.06
1992-11-19,2.04
1992-11-20,2.192
1992-11-23,2.15
1992-11-24,2.131
1992-11-25,2.17
1992-11-30,2.168
1992-12-01,2.13
1992-12-02,2.13
1992-12-03,2.115
1992-12-04,2.105
1992-12-07,2.085
1992-12-08,2.046
1992-12-09,2.067
1992-12-10,2.07
1992-12-11,2.075
1992-12-14,2.045
1992-12-15,2.05
1992-12-16,2.06
