DATE,PRUBBUSDM
2005-04-01,1312.6208338031254
2005-05-01,1359.3768498085844
2005-06-01,1455.34288948786
2005-07-01,1691.7880164317273
2005-08-01,1599.6612676911543
2005-09-01,1696.1386717026471
2005-10-01,1701.4308866963797
2005-11-01,1599.002175885187
2005-12-01,1680.3594294513985
2006-01-01,1875.4192186937742
2006-02-01,2058.377800992915
2006-03-01,2070.981079012729
2006-04-01,2144.4766023646994
2006-05-01,2446.6699960386177
2006-06-01,2701.9084385992874
2006-07-01,2483.098617038415
2006-08-01,2174.548413620655
2006-09-01,1817.5024732153383
2006-10-01,1820.478667741466
2006-11-01,1624.320392155813
2006-12-01,1723.2918186998684
2007-01-01,2077.621874798854
2007-02-01,2278.7531008745186
2007-03-01,2242.616688064565
2007-04-01,2320.2531573468377
2007-05-01,2368.693699454093
2007-06-01,2211.3125329124837
2007-07-01,2076.0255522802945
2007-08-01,2113.411966791226
2007-09-01,2163.00294336439
2007-10-01,2331.742303415788
2007-11-01,2482.7414736952924
2007-12-01,2477.7974893765804
2008-01-01,2623.6399338249175
2008-02-01,2790.0037965726638
2008-03-01,2792.003799294218
2008-04-01,2835.0038578076983
2008-05-01,3048.5041483339583
2008-06-01,3222.5043851094542
2008-07-01,3195.221739288198
2008-08-01,2926.5516014313584
2008-09-01,2837.57204312061
2008-10-01,1919.729885051311
2008-11-01,1651.3022470539145
2008-12-01,1220.3929650303542
2009-01-01,1484.7639251943222
2009-02-01,1463.151991023396
2009-03-01,1430.8201288451276
2009-04-01,1626.3658494846784
2009-05-01,1693.252304138582
2009-06-01,1674.638642445905
2009-07-01,1749.2197716021653
2009-08-01,2054.812319950614
2009-09-01,2172.7302293283274
2009-10-01,2352.185018980793
2009-11-01,2551.0510904589523
2009-12-01,2805.0038169843347
2010-01-01,3081.861336582788
2010-02-01,3127.604255971558
2010-03-01,3338.6132387598786
2010-04-01,3948.187190783641
2010-05-01,3679.766912103622
2010-06-01,3565.7775795003995
2010-07-01,3274.186273618781
2010-08-01,3316.095421556878
2010-09-01,3532.7775345947152
2010-10-01,3924.7672454944286
2010-11-01,4306.14222333512
2010-12-01,4746.006458255853
2011-01-01,5519.531320374399
2011-02-01,6190.308423628561
2011-03-01,5418.572590859588
2011-04-01,5853.107964773969
2011-05-01,5116.356962220258
2011-06-01,4934.006714082254
2011-07-01,4732.006439204949
2011-08-01,4676.292077675852
2011-09-01,4551.506193584373
2011-10-01,4061.055526190445
2011-11-01,3371.8617312086294
2011-12-01,3384.4807959994073
2012-01-01,3626.057565834231
2012-02-01,4002.529256073081
2012-03-01,3929.0508011069355
2012-04-01,3844.9552321261654
2012-05-01,3728.1414368050146
2012-06-01,3198.7186384566508
2012-07-01,3078.3678253353964
2012-08-01,2793.0990388798245
2012-09-01,3038.454134658128
2012-10-01,3203.958905327738
2012-11-01,2974.1469042931817
2012-12-01,3109.7042316136144
2013-01-01,3303.640859154464
2013-02-01,3185.8932241787234
2013-03-01,2977.304051446508
2013-04-01,2866.822082923382
2013-05-01,3038.0517531582
2013-06-01,2810.203824060372
2013-07-01,2563.090444315938
2013-08-01,2568.9534957725214
2013-09-01,2638.098827959131
2013-10-01,2534.5034488936894
2013-11-01,2489.5748163272797
2013-12-01,2558.4796719961737
2014-01-01,2326.241260733416
2014-02-01,2145.002918870372
2014-03-01,2281.2888186107907
2014-04-01,2195.3363206962354
2014-05-01,2072.752820554109
2014-06-01,2086.6218870458606
2014-07-01,2018.8663835903278
2014-08-01,1849.9548983282289
2014-09-01,1644.4113285860028
2014-10-01,1620.1450617987953
2014-11-01,1635.852226029882
2014-12-01,1603.0930905429175
2015-01-01,1654.0498698404344
2015-02-01,1808.3913497060216
2015-03-01,1735.4114524168663
2015-04-01,1700.3356471107643
2015-05-01,1841.9025064183402
2015-06-01,1829.383441763639
2015-07-01,1639.5022309967244
2015-08-01,1420.528248811468
2015-09-01,1312.0517854097304
2015-10-01,1300.819951943893
2015-11-01,1222.2516632118015
2015-12-01,1247.668364464927
2016-01-01,1219.751659809855
2016-02-01,1257.528027004536
2016-03-01,1447.0928782614355
2016-04-01,1720.4309125511752
2016-05-01,1673.7165632690844
2016-06-01,1580.6385145327044
2016-07-01,1774.8024151100863
2016-08-01,1653.0022493672393
2016-09-01,1604.5736120380966
2016-10-01,1666.6689346312144
2016-11-01,1879.8661944420844
2016-12-01,2226.9077922293886
2017-01-01,2555.108740090796
2017-02-01,2711.4536896834934
2017-03-01,2366.698872723004
2017-04-01,2232.160932209831
2017-05-01,2173.9077201081204
2017-06-01,1758.5738215980223
2017-07-01,1749.430952013759
2017-08-01,1832.0934021612477
2017-09-01,1844.3525097522474
2017-10-01,1622.859351206622
2017-11-01,1549.0930170608651
2017-12-01,1623.3522090201493
2018-01-01,1693.684122908009
2018-02-01,1728.6134633683412
2018-03-01,1723.2880592962579
2018-04-01,1713.9070941499035
2018-05-01,1678.240378948797
2018-06-01,1544.3021014505914
2018-07-01,1459.411076841939
2018-08-01,1468.0972358480087
2018-09-01,1431.851948431023
2018-10-01,1420.4801938261671
2018-11-01,1345.1446875846445
2018-12-01,1420.6335121126006
2019-01-01,1585.0021568342847
2019-02-01,1629.2375111463796
2019-03-01,1714.1928088244129
2019-04-01,1711.3356620793302
2019-05-01,1797.9072084553177
2019-06-01,1982.3184869668426
2019-07-01,1757.6110873686991
2019-08-01,1493.2020319147969
2019-09-01,1502.1449012269038
2019-10-01,1435.683771827097
2019-11-01,1537.1449488541587
2019-12-01,1652.3522484827333
2020-01-01,1658.1522563752483
2020-02-01,1579.8521498262733
2020-03-01,1507.3656875520096
2020-04-01,1338.19229717161
2020-05-01,1353.0573967647733
2020-06-01,1428.2746708358743
2020-07-01,1498.8115633576424
2020-08-01,1762.8523988487825
2020-09-01,1969.002679373315
